date,open,high,close,low,volume,amount
2011-01-11,52.27,52.72,50.46,49.6,2006359.0,63629980.0
2011-01-10,54.08,54.14,52.3,52.29,1181720.0,39147928.0
2011-01-07,53.74,54.8,54.08,52.93,1140414.0,38406180.0
2011-01-06,53.94,54.06,53.92,52.93,1152734.0,38533428.0
2011-01-05,55.84,55.87,54.08,53.95,2170004.0,73881840.0
2011-01-04,55.97,56.48,55.82,55.28,1540284.0,53686048.0
2010-12-31,55.01,55.97,55.97,54.88,1438689.0,50054468.0
2010-12-30,54.78,55.52,55.26,53.12,1868368.0,63841332.0
2010-12-29,53.65,55.12,54.74,53.65,1194917.0,40728580.0
2010-12-28,53.7,53.84,53.76,52.45,994409.0,33061174.0
2010-12-27,54.06,55.49,54.08,51.68,1693704.0,56772960.0
2010-12-24,55.94,56.32,54.27,53.86,2040152.0,69591408.0
2010-12-23,56.83,57.44,56.7,55.68,1789705.0,63020756.0
2010-12-22,58.72,59.2,57.38,56.83,2102213.0,75603704.0
2010-12-21,59.78,60.46,58.88,58.4,1886174.0,69650400.0
2010-12-20,58.64,60.48,59.98,57.6,3711783.0,137807712.0
2010-12-17,59.04,59.04,58.94,57.76,1581268.0,57549520.0
2010-12-16,58.58,59.84,59.2,58.5,2021481.0,74811280.0
2010-12-15,60.56,60.64,59.07,58.82,2916750.0,108694320.0
2010-12-14,59.18,60.48,60.19,57.63,4124166.0,153550048.0
2010-12-13,56.64,60.0,59.14,56.1,5101331.0,185360400.0
2010-12-10,55.36,56.21,55.97,54.66,2408377.0,83679640.0
2010-12-09,55.12,55.76,55.38,54.08,2149951.0,73871944.0
2010-12-08,53.06,56.99,55.04,53.04,3320937.0,114851032.0
2010-12-07,51.73,53.2,53.04,51.25,1917403.0,63100284.0
2010-12-06,54.54,54.56,52.24,51.49,2594864.0,85264808.0
2010-12-03,54.48,55.65,54.72,53.68,1748936.0,59841336.0
2010-12-02,54.85,55.18,54.48,53.84,2171815.0,73912224.0
2010-12-01,52.91,54.91,54.91,52.48,2230509.0,74689640.0
2010-11-30,56.64,56.64,53.76,51.28,4764482.0,159561568.0
2010-11-29,55.3,57.28,56.64,55.04,3249419.0,114683880.0
2010-11-26,55.31,56.29,55.86,54.43,3353471.0,116436672.0
2010-11-25,56.8,57.2,55.31,54.34,4887180.0,169827744.0
