提名 1991 张学友  924883     喋血街头        
提名 1990 成龙     892908     奇迹              
提名 1990 吴耀汉  940058     飞越黄昏        
提名 1990 周润发  893535     赌神              
提名 1990 洪金宝  892825     八两金           
提名 1990 许冠文  893286     合家欢           
提名 1989 莫少聪  1227515    中国最后一个太监
提名 1989 许冠文  893286     鸡同鸭讲        
提名 1989 张国荣  954979     胭脂扣           
提名 1989 刘德华  924681     旺角卡门        
提名 1988 周润发  893535     秋天的童话     
提名 1988 周润发  893535     监狱风云        
提名 1988 张国荣  954979     英雄本色2       
提名 1988 李修贤  892894     龙虎风云        
提名 1988 曾志伟  893302     最后胜利        
提名 1988 达式常  1015723    书剑恩仇录     
提名 1987 李修贤  892894     兄弟              
提名 1987 狄龙     938676     英雄本色        
提名 1987 许冠文  893286     神探朱古力     
提名 1987 梁家辉  893545     火龙              
提名 1987 梁朝伟  925068     地下情           
提名 1986 周润发  893535     女人心           
提名 1986 许冠文  893286     智勇三宝        
提名 1986 成龙     892908     龙的心           
提名 1986 成龙     892908     警察故事        
获奖 1985 李修贤  892894     公仆              
获奖 1984 梁家辉  893545     垂帘听政        
获奖 1983 麦嘉     893292     最佳拍档        
获奖 1982 许冠文  893286     摩登保镖        
提名 1985 郑则仕  893423     小生作反        
提名 1985 周润发  893535     等待黎明        
提名 1985 成龙     892908     A计划             
提名 1985 许冠文  893286     铁板烧           
提名 1984 王正方  1051964    半边人           
提名 1984 吴耀汉  940058     奇谋妙计五福星
提名 1984 洪金宝  892825     人吓人           
提名 1984 万梓良  997102     男与女           
提名 1983 洪金宝  892825     提防小手        
提名 1983 林子祥  1035826    投奔怒海        
提名 1983 陈惠敏  934140     杀入爱情街     
提名 1983 张国荣  954979     烈火青春        
