提名 1993 黄韵诗  1028372    九二黑玫瑰对黑玫瑰
提名 1992 吴家丽  962219     何日君再来     
提名 1992 邱淑贞  998758     五亿探长雷洛传I雷老虎
提名 1992 叶童     948760     跛豪              
提名 1992 关之琳  954210     婚姻勿语        
提名 1991 文希莲  1039161    爱在他乡的季节
提名 1991 张曼玉  925074     滚滚红尘        
提名 1991 郑裕玲  948741     古惑大律师     
提名 1991 潘迪华  953955     阿飞正传        
提名 1990 王小凤  1025261    惊魂记           
提名 1990 林建明  1006085    第一茧           
提名 1990 商天娥  1052758    三狼奇案        
提名 1990 顾美华  1033817    不脱袜的人     
提名 1989 金燕玲  985618     我要逃亡        
提名 1989 刘美君  1046904    法中情           
提名 1989 缪骞人  1054297    我爱太空人     
提名 1988 叶德娴  996602     鬼新娘           
提名 1988 吴家丽  962219     龙虎风云        
提名 1988 高丽虹  1007549    东方秃鹰        
提名 1987 蔡琴     1101738    地下情           
提名 1987 杨雪仪  1008481    梦中人           
提名 1987 李殿馨  1091909    火龙              
提名 1986 金燕玲  985618     女人心           
提名 1986 陈婉丽  1174004    女人风情话     
提名 1986 王小凤  1025261    平安夜           
获奖 1985 梅艳芳  954171     缘份              
提名 1985 李丽珍  949835     上海之夜        
提名 1985 焦姣     1000927    倾城之恋        
提名 1985 于倩     1055525    等待黎明        
