0 , 100510.0 , 100510.0
1 , 101023.67 , 101023.67
2 , 101541.04129 , 101541.04129
3 , 102062.145445 , 102062.145445
4 , 102587.014327 , 102587.014327
5 , 103115.680088 , 103115.680088
6 , 103648.175175 , 103648.175175
7 , 104184.532328 , 104184.532328
8 , 104724.784586 , 104724.784586
9 , 105268.965291 , 105268.965291
10 , 105817.108086 , 105817.108086
11 , 106369.246924 , 106369.246924
12 , 106925.416065 , 106925.416065
13 , 107485.650084 , 107485.650084
14 , 108049.98387 , 108049.98387
15 , 108618.45263 , 108618.45263
16 , 109191.091895 , 109191.091895
17 , 109767.937518 , 109767.937518
18 , 110349.025681 , 110349.025681
19 , 110934.392896 , 110934.392896
20 , 111524.076009 , 111524.076009
21 , 112118.112202 , 112118.112202
22 , 112716.538999 , 112716.538999
23 , 113319.394264 , 113319.394264
24 , 113926.716211 , 113926.716211
25 , 114538.543401 , 114538.543401
26 , 115154.914749 , 115154.914749
27 , 115775.869527 , 115775.869527
28 , 116401.447364 , 116401.447364
29 , 117031.688256 , 117031.688256
30 , 117780.474413 , 117742.902688
31 , 118535.321127 , 118459.739404
32 , 119296.28229 , 119182.247964
33 , 120063.412289 , 119910.478382
34 , 120836.766012 , 120644.481132
35 , 121616.398857 , 121384.307152
36 , 122402.366728 , 122130.007849
37 , 123194.72605 , 122881.635102
38 , 123993.533766 , 123639.241267
39 , 124798.847345 , 124402.879183
40 , 125610.724787 , 125172.602175
41 , 126429.224628 , 125948.464056
42 , 127254.405944 , 126730.519137
43 , 128086.328357 , 127518.82223
44 , 128925.052041 , 128313.428649
45 , 129770.637723 , 129114.394218
46 , 130623.146695 , 129921.775278
47 , 131482.640814 , 130735.628684
48 , 132349.182507 , 131556.011819
49 , 133222.834782 , 132382.982594
50 , 134103.661227 , 133216.599453
51 , 134991.726019 , 134056.921379
52 , 135887.093929 , 134904.007899
53 , 136789.830327 , 135757.919089
54 , 137700.001187 , 136618.715578
55 , 138617.673095 , 137486.458557
56 , 139542.913254 , 138361.20978
57 , 140475.789487 , 139243.03157
58 , 141192.092164 , 139956.345034
59 , 141913.549825 , 140674.81475
60 , 142640.206422 , 141398.484813
61 , 143372.106307 , 142127.399721
62 , 144109.294237 , 142861.604378
63 , 144851.815375 , 143601.144097
64 , 145599.715297 , 144346.064605
65 , 146353.039993 , 145096.412047
66 , 147111.835874 , 145852.232989
67 , 147876.149771 , 146613.574421
68 , 148646.028946 , 147380.483765
69 , 149421.521089 , 148153.008875
70 , 150202.674326 , 148931.198042
71 , 150989.537222 , 149715.1
72 , 151782.158787 , 150504.763926
73 , 152580.588474 , 151300.239451
74 , 153384.876194 , 152101.576655
75 , 154195.072307 , 152908.826082
76 , 155011.227639 , 153722.038733
77 , 155833.393477 , 154541.266081
78 , 156661.621578 , 155366.560066
79 , 157495.96417 , 156197.973108
80 , 158336.473963 , 157035.558103
81 , 159183.204145 , 157879.368435
82 , 160036.208393 , 158729.457977
83 , 160895.540873 , 159585.881093
84 , 161761.256249 , 160448.69265
85 , 162633.409684 , 161317.948015
86 , 163512.056847 , 162193.703063
87 , 164397.253917 , 163076.014184
88 , 165449.220541 , 164064.037962
89 , 166509.701597 , 165059.872346
90 , 167578.772793 , 166063.586255
91 , 168656.510539 , 167075.249247
92 , 169742.991946 , 168094.931517
93 , 170838.294839 , 169122.703906
94 , 171942.497762 , 170158.637908
95 , 173055.67998 , 171202.805676
96 , 174177.921493 , 172255.280026
97 , 175309.303039 , 173316.134447
98 , 176449.9061 , 174385.443101
99 , 177599.812913 , 175463.280838
100 , 178759.106473 , 176549.723195
101 , 179927.870541 , 177644.846406
102 , 181106.189653 , 178748.727406
103 , 182294.149128 , 179861.443844
104 , 183491.835069 , 180983.07408
105 , 184699.334379 , 182113.6972
106 , 185916.734763 , 183253.393019
107 , 187144.124736 , 184402.242086
108 , 188381.593635 , 185560.325698
109 , 189629.231618 , 186727.725898
110 , 190887.129683 , 187904.525488
111 , 192155.379664 , 189090.808035
112 , 193434.074251 , 190286.657878
113 , 194723.306986 , 191492.160134
114 , 196023.172282 , 192707.400706
115 , 197333.765422 , 193932.466292
116 , 198339.813364 , 194930.425526
117 , 199353.101009 , 195935.631097
118 , 200373.690086 , 196948.145161
119 , 201401.64288 , 197968.030443
120 , 202437.022247 , 198995.35024
121 , 203479.891614 , 200030.168429
122 , 204530.314987 , 201072.54947
123 , 205588.356954 , 202122.558415
124 , 206654.082691 , 203180.260909
125 , 207727.557971 , 204245.723198
126 , 208808.849164 , 205319.012136
127 , 209898.023247 , 206400.195188
128 , 210995.147806 , 207489.340438
129 , 212100.291047 , 208586.516592
130 , 213213.521794 , 209691.792987
131 , 214334.909505 , 210805.239596
132 , 215464.524267 , 211926.927032
133 , 216602.43681 , 213056.926556
134 , 217748.718509 , 214195.310083
135 , 218903.441393 , 215342.150188
136 , 220066.678148 , 216497.52011
137 , 221238.502123 , 217661.493763
138 , 222418.98734 , 218834.145739
139 , 223608.208498 , 220015.551312
140 , 224806.240979 , 221205.78645
141 , 226013.160853 , 222404.927819
142 , 227229.044889 , 223613.052789
143 , 228453.970557 , 224830.239439
144 , 229688.016037 , 226056.566569
145 , 230931.260225 , 227292.113702
146 , 232409.088696 , 228664.942124
147 , 233898.878418 , 230048.62296
148 , 235400.735751 , 231443.252073
149 , 236914.768034 , 232848.92621
150 , 238441.083596 , 234265.743007
151 , 239979.791767 , 235693.801002
152 , 241531.002884 , 237133.19964
153 , 243094.828304 , 238584.039282
154 , 244671.380412 , 240046.421218
