,risk,yields,weight0,weight1
0,0.044999999669,0.06,3.1521685262e-09,0.999999996848
1,0.0443227489745,0.0608724832215,0.00671141250583,0.993288587494
2,0.04370205976,0.061744966443,0.0134228218595,0.986577178141
3,0.0431403734574,0.0626174496644,0.0201342312132,0.979865768787
4,0.0426400218221,0.0634899328859,0.0268456405668,0.973154359433
5,0.0422031864212,0.0643624161074,0.0335570499205,0.96644295008
6,0.0418318571352,0.0652348993289,0.0402684592741,0.959731540726
7,0.0415277912106,0.0661073825503,0.0469798686278,0.953020131372
8,0.0412924745982,0.0669798657718,0.0536912779815,0.946308722019
9,0.0411270874026,0.0678523489933,0.0604026873351,0.939597312665
10,0.0410324752138,0.0687248322148,0.0671140966888,0.932885903311
11,0.0410091278899,0.0695973154362,0.0738255060425,0.926174493958
12,0.0410571670062,0.0704697986577,0.0805369153961,0.919463084604
13,0.0411763427107,0.0713422818792,0.0872483247498,0.91275167525
14,0.0413660401736,0.0722147651007,0.0939597341034,0.906040265897
15,0.0416252952474,0.0730872483221,0.100671143457,0.899328856543
16,0.04195281842,0.0739597315436,0.107382552811,0.892617447189
17,0.0423470257103,0.0748322147651,0.114093962164,0.885906037836
18,0.0428060748469,0.0757046979866,0.120805371518,0.879194628482
19,0.0433279049257,0.0765771812081,0.127516780872,0.872483219128
20,0.0439102777362,0.0774496644295,0.134228190225,0.865771809775
21,0.0445508190796,0.078322147651,0.140939599579,0.859060400421
22,0.0452470586295,0.0791946308725,0.147651008933,0.852348991067
23,0.0459964671768,0.080067114094,0.154362418286,0.845637581714
24,0.0467964904137,0.0809395973154,0.16107382764,0.83892617236
25,0.047644578721,0.0818120805369,0.167785236994,0.832214763006
26,0.0485382127002,0.0826845637584,0.174496646347,0.825503353653
27,0.0494749244256,0.0835570469799,0.181208055701,0.818791944299
28,0.0504523145741,0.0844295302013,0.187919465055,0.812080534945
29,0.0514680657206,0.0853020134228,0.194630874408,0.805369125592
30,0.0525199521736,0.0861744966443,0.201342283762,0.798657716238
31,0.0536058467686,0.0870469798658,0.208053693116,0.791946306884
32,0.0547237250506,0.0879194630872,0.214765102469,0.785234897531
33,0.0558716672671,0.0887919463087,0.221476511823,0.778523488177
34,0.0570478585678,0.0896644295302,0.228187921177,0.771812078823
35,0.0582505877679,0.0905369127517,0.23489933053,0.76510066947
36,0.0594782449944,0.0914093959732,0.241610739884,0.758389260116
37,0.0607293184885,0.0922818791946,0.248322149238,0.751677850762
38,0.0620023907984,0.0931543624161,0.255033558591,0.744966441409
39,0.0632961345543,0.0940268456376,0.261744967945,0.738255032055
40,0.0646093079865,0.0948993288591,0.268456377299,0.731543622701
41,0.0659407503114,0.0957718120805,0.275167786652,0.724832213348
42,0.0672893770883,0.096644295302,0.281879196006,0.718120803994
43,0.0686541756225,0.0975167785235,0.28859060536,0.71140939464
44,0.0700342004741,0.098389261745,0.295302014713,0.704697985287
45,0.0714285691153,0.0992617449664,0.302013424067,0.697986575933
46,0.0728364577656,0.100134228188,0.308724833421,0.691275166579
47,0.0742570974249,0.101006711409,0.315436242774,0.684563757226
48,0.0756897701165,0.101879194631,0.322147652128,0.677852347872
49,0.0771338053435,0.102751677852,0.328859061482,0.671140938518
50,0.0785885767616,0.103624161074,0.335570470835,0.664429529165
51,0.0800534990629,0.104496644295,0.342281880189,0.657718119811
52,0.0815280250662,0.105369127517,0.348993289543,0.651006710457
53,0.0830116430047,0.106241610738,0.355704698896,0.644295301104
54,0.0845038740039,0.10711409396,0.36241610825,0.63758389175
55,0.0860042697379,0.107986577181,0.369127517604,0.630872482396
56,0.0875124102559,0.108859060403,0.375838926957,0.624161073043
57,0.0890279019668,0.109731543624,0.382550336311,0.617449663689
58,0.0905503757728,0.110604026846,0.389261745665,0.610738254335
59,0.0920794853414,0.111476510067,0.395973155018,0.604026844982
60,0.0936149055069,0.112348993289,0.402684564372,0.597315435628
61,0.0951563307907,0.11322147651,0.409395973726,0.590604026274
62,0.0967034740338,0.114093959732,0.416107383079,0.583892616921
63,0.098256065131,0.114966442953,0.422818792433,0.577181207567
64,0.0998138498607,0.115838926174,0.429530201787,0.570469798213
65,0.101376588802,0.116711409396,0.43624161114,0.56375838886
66,0.102944056334,0.117583892617,0.442953020494,0.557046979506
67,0.104516039707,0.118456375839,0.449664429848,0.550335570152
68,0.106092338185,0.11932885906,0.456375839201,0.543624160799
69,0.107672762254,0.120201342282,0.463087248555,0.536912751445
70,0.109257132881,0.121073825503,0.469798657909,0.530201342091
71,0.110845280836,0.121946308725,0.476510067262,0.523489932738
72,0.112437046057,0.122818791946,0.483221476616,0.516778523384
73,0.114032277064,0.123691275168,0.48993288597,0.51006711403
74,0.115630830418,0.124563758389,0.496644295323,0.503355704677
75,0.11723257021,0.125436241611,0.503355704677,0.496644295323
76,0.118837367595,0.126308724832,0.51006711403,0.48993288597
77,0.120445100357,0.127181208054,0.516778523384,0.483221476616
78,0.122055652501,0.128053691275,0.523489932738,0.476510067262
79,0.123668913875,0.128926174497,0.530201342091,0.469798657909
80,0.12528477982,0.129798657718,0.536912751445,0.463087248555
81,0.126903150845,0.13067114094,0.543624160799,0.456375839201
82,0.128523932318,0.131543624161,0.550335570152,0.449664429848
83,0.130147034183,0.132416107383,0.557046979506,0.442953020494
84,0.131772370696,0.133288590604,0.56375838886,0.43624161114
85,0.133399860178,0.134161073826,0.570469798213,0.429530201787
86,0.135029424779,0.135033557047,0.577181207567,0.422818792433
87,0.136660990268,0.135906040268,0.583892616921,0.416107383079
88,0.138294485826,0.13677852349,0.590604026274,0.409395973726
