,risk,yields,weight0,weight1,weight2,weight3
0,0.0514135198133,0.088,0.1,0.1,0.10000000298,0.69999999702
1,0.0518480091744,0.0885234899329,0.103214410873,0.101173516928,0.1,0.695612072198
2,0.0522955698925,0.0890469798658,0.106223122289,0.102644155201,0.1,0.69113272251
3,0.0527550281515,0.0895704697987,0.109079696312,0.104334547637,0.1,0.686585756051
4,0.0532255617671,0.0900939597315,0.11182355254,0.106187754368,0.1,0.681988693092
5,0.0537064762932,0.0906174496644,0.114465686604,0.108187893215,0.1,0.677346420181
6,0.0541971472342,0.0911409395973,0.117012614417,0.110325552327,0.1,0.672661833256
7,0.0546969947016,0.0916644295302,0.119467660085,0.112595930163,0.1,0.667936409753
8,0.055203036742,0.0921879194631,0.121531229378,0.115431773818,0.1,0.663036996803
9,0.055718967566,0.092711409396,0.12376264215,0.118025176889,0.1,0.658212180961
10,0.0562424504544,0.0932348993289,0.125901497345,0.120752274185,0.1,0.65334622847
11,0.0567730004893,0.0937583892617,0.127944805601,0.123617383626,0.1,0.648437810773
12,0.0573101468645,0.0942818791946,0.129888766296,0.126625995392,0.1,0.643485238311
13,0.0578534343234,0.0948053691275,0.131728982471,0.129784460133,0.1,0.638486557396
14,0.0584024264546,0.0953288590604,0.133460685805,0.133099665181,0.1,0.633439649014
15,0.0589567100308,0.0958523489933,0.135078948173,0.13657873031,0.1,0.628342321517
16,0.0595159003076,0.0963758389262,0.136578945433,0.140228622487,0.1,0.62319243208
17,0.060079647423,0.0968993288591,0.137956207973,0.144055798076,0.1,0.617987993951
18,0.0606426572376,0.0974228187919,0.138826838117,0.148614776194,0.1,0.612558385689
19,0.0612111320736,0.0979463087248,0.139680244175,0.153198633186,0.1,0.607121122638
20,0.06178524026,0.0984697986577,0.140541447181,0.157771227818,0.1,0.601687325001
21,0.0623647823399,0.0989932885906,0.141170013471,0.162081933862,0.100896878555,0.595851174112
22,0.0629487518768,0.0995167785235,0.141420899956,0.166005948033,0.103192102826,0.589381049186
23,0.0635367505274,0.100040268456,0.141667491065,0.169941017611,0.105480050465,0.582911440859
24,0.0641286792353,0.100563758389,0.141910465485,0.173885852201,0.107761186389,0.576442495926
25,0.0647244427772,0.101087248322,0.142150590363,0.177838974422,0.110036064536,0.569974370679
26,0.0653239498034,0.101610738255,0.142388718724,0.181798672307,0.112305405382,0.563507203586
27,0.0659271127038,0.102134228188,0.142625830728,0.185762983497,0.114570028062,0.557041157713
28,0.0665338477197,0.102657718121,0.142863020899,0.189729647715,0.116830951984,0.550576379403
29,0.0671440748459,0.103181208054,0.143101529742,0.193696068737,0.11908938324,0.544113018282
30,0.067757717926,0.103704697987,0.143342750297,0.197659284281,0.121346748274,0.537651217149
31,0.0683747043777,0.104228187919,0.143588268968,0.201615910157,0.123604683405,0.531191137469
32,0.0689949660018,0.104751677852,0.143839859002,0.205562059074,0.125865180771,0.524732901153
33,0.0696184380601,0.105275167785,0.14409950735,0.209493331828,0.128130532248,0.518276628575
34,0.0702450603053,0.105798657718,0.144369453453,0.213404711235,0.13040341344,0.511822421871
35,0.0708747764607,0.106322147651,0.144652206048,0.21729049335,0.132686941143,0.505370359458
36,0.0715075350539,0.106845637584,0.144950535408,0.221144255071,0.134984749933,0.498920459589
37,0.0721432895219,0.107369127517,0.145267507425,0.224958727009,0.137301101707,0.492472663859
38,0.0727818452482,0.10789261745,0.145617634823,0.228767093859,0.139554774443,0.486060496876
39,0.0734213142603,0.108416107383,0.146082955402,0.233054976747,0.140839587582,0.480022480268
40,0.0740630741513,0.108939597315,0.146507468135,0.23743303436,0.142077555594,0.473981941912
41,0.0747070501098,0.109463087248,0.146883353414,0.241910926889,0.143271131484,0.467934588213
42,0.0753531726212,0.109986577181,0.147201689171,0.246498546195,0.144424807141,0.461874957493
43,0.076001379619,0.110510067114,0.147452451627,0.251205577348,0.145545774085,0.45579619694
44,0.076651618387,0.111033557047,0.147624621973,0.256040885583,0.14664460748,0.449689884964
45,0.0773038486304,0.11155704698,0.147706385153,0.26101162631,0.14773617609,0.443545812447
46,0.0779580450606,0.112080536913,0.147685611559,0.266122129554,0.148840262712,0.437351996175
47,0.0786142014818,0.112604026846,0.147550484753,0.271372403067,0.149982459309,0.431094652872
48,0.0792723338621,0.113127516779,0.147290511338,0.276756376062,0.151194608209,0.424758504392
49,0.0799324827808,0.113651006711,0.146897842078,0.28226007588,0.15251467239,0.418327409651
50,0.0805947154763,0.114174496644,0.146368877525,0.28785969257,0.153986170816,0.411785259088
51,0.0812591230819,0.114697986577,0.145706086048,0.293520356213,0.155656055815,0.405117501924
52,0.0819258164895,0.11522147651,0.144919660336,0.299195626792,0.157571903366,0.398312809506
53,0.0825949170073,0.115744966443,0.14402884542,0.304828401881,0.15977767255,0.391365080149
54,0.0832665420408,0.116268456376,0.143062309216,0.310353947101,0.16230834941,0.384275394273
55,0.0839407887859,0.116791946309,0.142057193411,0.315704637473,0.165184896948,0.377053272168
56,0.0846177174438,0.117315436242,0.141056869533,0.320815984399,0.168410077476,0.369717068591
57,0.0852973368216,0.117838926174,0.140107216088,0.32563358688,0.171966088602,0.36229310843
58,0.0859795968038,0.118362416107,0.139252300424,0.330118946782,0.175815197732,0.354813555062
59,0.0866643891213,0.11888590604,0.138530153078,0.33425318236,0.179903329539,0.347313335023
60,0.0873515557976,0.119409395973,0.137969351777,0.338038293526,0.184165563576,0.33982679112
61,0.0880409046736,0.119932885906,0.137587382789,0.341494836648,0.188533179744,0.33238460082
