,risk,yields,weight0,weight1,weight2
0,0.045,0.06,4.73076012736e-14,-3.38813178902e-19,1.0
1,0.0443227492745,0.0608724832215,0.00671140940499,3.46944695195e-18,0.993288590595
2,0.043702060032,0.061744966443,0.0134228187735,1.04083408559e-17,0.986577181226
3,0.0431403736952,0.0626174496644,0.0201342282101,6.93889390391e-18,0.97986577179
4,0.0426400220202,0.0634899328859,0.0268456377317,6.93889390391e-18,0.973154362268
5,0.0422031865952,0.0643624161074,0.0335570470317,1.38777878078e-17,0.966442952968
6,0.0418318572895,0.0652348993289,0.0402684562091,6.93889390391e-18,0.959731543791
7,0.0415277913221,0.0661073825503,0.0469798658534,0.0,0.953020134147
8,0.0412924746895,0.0669798657718,0.0536912749263,-2.77555756156e-17,0.946308725074
9,0.0411270874618,0.0678523489933,0.0604026842847,-1.38777878078e-17,0.939597315715
10,0.041032475238,0.0687248322148,0.0671140939426,4.33680868994e-18,0.932885906057
11,0.0410091278849,0.0695973154362,0.0738255033099,6.93889390391e-18,0.92617449669
12,0.0410571669736,0.0704697986577,0.0805369127816,-6.93889390391e-18,0.919463087218
13,0.0411763426483,0.0713422818792,0.0872483220434,-6.93889390391e-18,0.912751677957
14,0.0413660400834,0.0722147651007,0.0939597314097,0.0,0.90604026859
15,0.0416252951387,0.0730872483221,0.100671140972,0.0,0.899328859028
16,0.0419528182764,0.0739597315436,0.107382550142,-1.38777878078e-17,0.892617449858
17,0.0423395246898,0.0748322147651,0.111343362756,0.00595962632927,0.882697010914
18,0.042772923704,0.0757046979866,0.114992426245,0.0125947097683,0.872412863986
19,0.0432515173115,0.0765771812081,0.118641490905,0.0192297893374,0.862128719757
20,0.0437738232442,0.0774496644295,0.122290554584,0.0258648724372,0.851844572979
21,0.0443382966312,0.078322147651,0.12593961873,0.0324999530504,0.84156042822
22,0.0449433487885,0.0791946308725,0.129588682617,0.0391350357681,0.831276281615
23,0.0455873638873,0.080067114094,0.133237747053,0.0457701156864,0.82099213726
